Question,A,B,C,D,Explanation,Answer
Non depolarizing blocking agent among the following is -,Suxamethonium,Decamethonium,Pancuronium,Beclofen,"Ans. is 'c' i.e., Pancuronium o Pancuronium is a long acting Nondepolarizing blocker.o Suxamethonium and decamethonium are depolarizing muscle relaxants whereas beclofen is a centrally acting agent.Nondepolarizing (competitive) blockersa) Long acting - d. tubocurarine, Pancuronium, (> 50 min) Doxacurium, Pipecuroniumb) Intermediate - Vecuronium, Atracurium, acting cisatracurium, Rocuronium (20-50 min)c) Short acting - Mivacurium, Rapacuronium (< 20 min)",C
Depth of anaesthesia can be best assessed by -,Pulse oximeter,End-tidal pCO2,Bispectral index,Acid blood gas analysis,"A bispectral index (BIS) monitor is commonly utilized to assess depth of sedation when administering sedative, hypnotic, or anesthetic agents during surgical and medical procedures. The depth of sedation is calculated by measuring cerebral electric activity an electroencephalogram (EEG). The BIS algorithm processes the frontal EEG and conves the signal to a waveform on the BIS monitor 100 to 90-awake and responding appropriately to verbal stimulation 80 to 70-responsive to loud commands or mild shaking 70 to 60-intense tactile stimulation is needed for a response 60 to 40-unresponsive to verbal stimulus; general anesthesia obtained with a low chance for explicit recall less than 40-deep hypnotic state; possible protective responses still intact. less than 20-burst suppression (EEG pattern characterized by cycles of high-voltage electrical movement alternating with cycles of no activity in the brain); respiratory drive is limited, but possible protective responses still intact. 0-totally suppressed EEG (flat line). Ref: Miller's anesthesia 8th edition Ref: Morgan & Mikhail's clinical anesthesiology 6e",C
Sodium nitroprusside infusion may result in –,Hypertension,Pulmonary oedema,Cyanide toxicity,Heart block,Sodium nitropruside has five cyanide groups with in its structure and Cyanide toxicity is a problem if it is used is in high doses.,C
Which of the following local anaesthetic is a strong vasoconstrictor?,Procaine,Cocaine,Lignocaine,All of the above,"Cocaine inhibits the neuronal membrane transpoers for catecholamines, thereby potentiating the effect of NE at adrenergic receptors in the vasculature, resulting in vasoconstriction and reduced cocaine absorption in vascular beds where adrenergic effects predominate. Ropivacaine and bupivacaine also cause vasoconstriction. Cocaine is used only in the nose, nasopharynx, mouth, throat, and ear, where it uniquely produces vasoconstriction as well as anesthesia. The shrinking of mucous membranes decreases operative bleeding while improving surgical visualization. Comparable vasoconstriction can be achieved with other local anesthetics by the addition of a low concentration of a vasoconstrictor such as phenylephrine (0.005%). Ref: Catterall W.A., Mackie K. (2011). Chapter 20. Local Anesthetics. In L.L. Brunton, B.A. Chabner, B.C. Knollmann (Eds), Goodman & Gilman's The Pharmacological Basis of Therapeutics, 12e.",B
Most potent antiemitic agent used in preoperative period,Glycopyrolate,Hyoscine,Atropine,Metochlorpromide,"D i.e. Metochlopromide Metochlopramide increases lower esophageal sphinter tone, speeds gastric emptying & lowers gastric fluid volume & decreases risk for aspiration pneumonia due to antiemetic effect",D
Which of the following is the most common method used to know depth of anaesthesia,Oesophageal contractility,Depressed Responses,Hypotension,BIS,"BIS- Bispectral index * BIS monitoring was first introduced for clinical use in 1996. It was approved by FDA as a technique of monitoring depth of anaesthesia and reducing the incidence of intraoperative awareness during General anaesthesia in 2004. * 100 - Awake * 80 - light / moderate sedation * 60 - General anaesthesia * 40 - Deep hypnotic state * 20 - burst suppression * 0 - isoelectric EEG Ref:- Understanding Anesthetic Equipment and Procedures - Baheti & Laheri Pg num:- 304,305",D
Which of the following is not a definitive airway device-,Orotracheal Intubation,Nasotracheal intubation,LMA,Tracheostomy,"LMA is temporary airway device since it cannot prevent aspiration. The Laryngeal Mask Airway LMA is asupraglottic airway devicewhich sits in the hypopharynx and paially protects thelarynx from pharyngeal secretions, but not gastric regurgitation. Advantages: Easy and rapid Less invasive Better hemodynamic stability Very useful in difficult intubations Less complications Does not require deep plane of anaesthesia",C
"Cells cultured from patients with this disorder exhibit low activity for the nucleotide excision repair process. This autosomal recessive genetic disease includes marked sensitivity to sunlight (Ultra voilet light) with subsequent formation of multiple skin cancers and premature death, the disorder is:",Acute intermittent Porphyria,Alkaptonuria,Xeroderma Pigmentosa,Ataxia - Telangiectasa,"C i.e. Xeroderma pigmentosa Xeroderma pigmentosa is an autosomal recessive genodermal disease in which DNA repair is defective d/t defective NER (nucleotide excision & repair) pathwayQ. This results in marked hypersensitivity to ultraviolet (sun) light, photosensitivity, dry pigmented skin, increased risk of skin malignancy and premature deathQ.",C
Inhalation agent incompatable with sodaline,Isoflurane,Trichloro Ethylene,Methoxy flurane,Enflurane,"B i.e. Trichloro ethylene Sodalime with trilene forms phosgene (neurotoxic) gas.Q So this combination is contraindicated. Sodalime is a mixture of 94% (Ca(OH)2 + 5% NaOH as catalyst + 1% KOHQ; with granule size of 4-8 meshQ. It should not be used with : The drier the sodalime, the more likely it will degrade & absorb volatile anesthetics. It produces compound A with sevofluraneQ (clinically significant) and carbon monoxide with desflurane, isoflurane & enflurane (clinically insignificant). However, desflurae can be broken down to CO by dry barium hydroxide lime to such an extent that it is capable of causing clinically significant CO poisoning.",B
"45 year old woman is posted for elective incisional hernia repair. On reviewing her history, she is known hypertensive patient for the past 10 years on regular captopril. What is your concern for the patient",Stopping captopril a day before surgery,Continue the medication till the day  of surgery,Stop a week priorly and start on amlodipine,Stop captopril a week before surgery and give when necessary.,Antihypertensive medications need not be stopped prior to surgery.,B
A 60-year-old man undergoing an inguinal hernia repair is induced with propofol. Which of the following is most likely to be observed,Hypeension,Apnea,Hypehermia,Prolonged sedation,"Hypotension and apnea are the most common side effects of propofol. Propofol does not cause hypehermia, indeed, it is the anesthetic of choice in patients at risk for malignant hypehermia. Propofol is associated with a fast emergence, which is also an advantage of the drug.",B
A 50-year-old patient presents with symptomatic nephrolithiasis. He repos that he underwent a jejunoileal bypass for morbid obesity when he was 39. Which of the following is a complication of jejunoileal bypass?,Pseudohyperparathyroidism,Hyperuric aciduria,Hungry bone syndrome,Hyperoxaluria,"Any patient who has lost much of the ileum (whether from injury, disease, or elective surgery) is at high risk of developing enteric hyperoxaluria if the colon remains intact. Calcium oxalate stones can subsequently develop due to excessive absorption of oxalate from the colon. Normally, fatty acids are absorbed by the terminal ileum, and calcium and oxalate combine to form an insoluble compound that is not absorbed. In the absence of the terminal ileum, unabsorbed fatty acids reach the colon, where they combine with calcium, leaving free oxalate to be absorbed. Unabsorbed fatty acids and bile acids in the colon also promote oxalate uptake by the colon. Subsequently, the excess oxalate is excreted by the kidneys, promoting calcium oxalate stone formation. Hungry bone syndrome refers to rapid remineralization of bones leading to hypocalcemia and can be seen postoperatively in patients with secondary or teiary hyperparathyroidism. Pseudohyperparathyroidism refers to hypercalcemia associated with the production of parathyroidrelated peptide. A unicameral bone cyst is a benign lesion found in children",D
"A 59-year-old man with a history of myocardial infarction 2 years ago undergoes an uneventful aoobifemoral bypass graft for aooiliac occlusive disease. Six hours later he develops ST segment depression, and a 12-lead electrocardiogram (ECG) shows anterolateral ischemia. His hemodynamic parameters are as follows: systemic BP 70/40 mm Hg, pulse 100 beats per minute, CVP 18 mm Hg, PCWP 25 mm Hg, cardiac output 1.5 L/min, and systemic vascular resistance 1000 (dyne * s)/cm5 . Which of the following is the single best pharmacologic intervention for this patient?",Sublingual nitroglycerin,Intravenous nitroglycerin,A sho-acting b-blocker,Dobutamine,"This patient has developed pump failure because of a combination of preexisting coronary aery occlusive disease and high preload following a fluid challenge; afterload remains moderately high as well because of systemic vasoconstriction in the presence of cardiogenic shock. Poor myocardial performance is reflected in the low cardiac output and high PCWP. Therapy must be directed at increasing cardiac output without creating too high a myocardial O2 demand on the already failing hea. Administration of nitroglycerin could be expected to reduce both preload and afterload, but, if given without an inotrope, it would create unacceptable hypotension. Nitroprusside similarly would achieve afterload reduction but would result in hypotension if not accompanied by an inotropic agent. A b-blocker would act deleteriously by reducing cardiac contractility and slowing the hea rate in a setting in which cardiac output is likely to be rate-dependent. Dobutamine is a synthetic catecholamine that is becoming the inotropic agent of choice in cardiogenic shock. As a b1 -adrenergic agonist, it improves cardiac performance in pump failure both by positive inotropy and peripheral vasodilation. With minimal chronotropic effect, dobutamine only marginally increases myocardial O2 demand.",D
Which intravenous anaesthetic can be used for upper airway manipulation in absence of neuromuscular blockers-,Thiopentone,Propofol,Etomidate,Ketamine,"Propofol - induced depression of upper airway reflexes exceeds that of any other agent thus allowing intubation, endoscopy or laryngeal mark placement in absence of neuromuscular blockers. ketamine preserve upper airway reflexes.",B
The dose modification of following drug not required in indicated with renal or hepatic failure,Atracurium,Cisatracurium,Both,None,ATRACURIUM O Onset Slow Duration Intermediate O Dose -0.5-0.6 mg/kg BW. O Histamine releaser O Metabolism unique - I. Hoffmann elimination - Spontaneous base catalyzed degradation. II. Ester hydrolysis by non-specific plasma esterase. Laudanosine is a major metabolite of both path ways. This metabolite if accumulate in blood causes CNS stimulation. Metabolism is independent of Liver and kidney this is very good NDNB drug for pts with derangement of liver and kidney. Very useful in_ 1) Acute /chronic renal dysfunction 2) Acute/chronic hepatic dysfunction 3) Pediatric 4) Old age 5) Pregnancy CISATRACURIUM Purified CIS-isomer of Atracurium similar profile as Atracurium except i More potent so less dose is used clinically ii Fuher less histamine release so more hemodynamic stable iii Slow onset.,C
Second gas effect is ?,Displacement of N20 by Oxygen,Displacement of oxygen by N20,Facilitation of inhalation of Halothane by N20,Removal of oxygen by N20 from alveoli during recovery from general anaesthesia,"Ans. is 'c' i.e., Facilitation of inhalation of halothane by N20",C
