Question,A,B,C,D,Explanation,Answer
A 45 yrs male presented with an expansile lesion in the centre of femoral metaphysis. The lesion shows Endosteal scalloping and punctuate calcifications. Most likely diagnosis is:,Osteosarcoma,Chondrosarcoma,Simple bone cyst,Fibrous Dysplasia,"Middle aged female with expansile lesion in the femoral metaphysis with endosteal scalloping and punctuate calcifications give the diagnosis of chondrosarcoma. Ref: Concise Pathology By Chandrasoma P, Taylor C, 3rd Edition, Page 971; Robbins Pathologic Basis of Disease, 6th Edition, Page 1241; Essential Ohopedics By Maheshwari, 2nd Edition, Page 223",B
A 60 year old male was diagnosed as carcinoma right lung. CECT of the chest shows a tumor of 5x5 cm in upper lobe and another 2x2 cm size tumor nodule in middle lobe. Which of the following is the treatment of choice?,Surgery,Radiotherapy,Chemotherapy,Suppoive treatment,"Question does not indicate the type of lung cancer in the patient. Depending on the given size of the cancer (5cm) and absence of nodal involvement or metastasis, patient is in T2 N0 M0 or Stage I cancer. The current standard of treatment of stage I and II lung cancer is surgical resection, accomplished by lobectomy or pneumonectomy, depending on the tumor location. Ref: Schwaz's Principles of Surgery, 9th Edition, Chapter 19.",A
"A 26 year old engineering student presented to the emergency with pain in the wrist after a fall on an outstretched hand from the motorcycle travelling at a very high speed. Examination shows swelling, diffuse tenderness, deformity, and limited wrist movement. 'Spilled teacup' sign is seen on a PA view X-ray wrist. What is the likely diagnosis?",Scaphoid fractures,Perilunate dislocation,Post-traumatic ahritis,Fracture of radial styloid,"Perilunate dislocations usually result from high energy hyperextension injuries to the wrist. In perilunate dislocations, the capitate and other carpal bones are displaced dorsal to the lunate, which remains located in the lunate fossa of the distal radius. Lunate dislocation is the final stage in the continuum of perilunate dislocation and refers to the volar displacement of lunate from the lunate fossa of the distal radius. Impoant Dx : Suspect perilunate dislocation in patients who sustain high energy hyperextension wrist injuries with or without carpal bone fractures Complication : Delay in diagnosis can result in injury to the median nerve in the acute setting and post-traumatic ahritis Inv : Confirm the diagnosis with posteroanterior and lateral plain wrist radiography, which would show the 'spilled teacup' sign (lunate angulated volarly) and disruption of the smooth borders of the carpal rows (Gilula's lines) Rx : Immediate management involves closed reduction, followed by early surgical repair (stabilisation and fixation) Ref: 1. Perilunate dislocation, Annakan V Navaratnam, Rupe Eckersley ; BMJ 2012;345:e7026 2. Witvoet J, Allieu Y. . Rev Chir Ohop Reparatrice Appar Mot1973;59(suppl 1):98-125.",B
Resection of 90% of ileum and jejunum causes all of the following except:,Hypogastrinemia,Anemia,Steatorrhea,Extracellular volume depletion,"Ans. (a) HypogastrinemiaRef: Sabiston 20th edition, Page 1291* This is a case of Short Bowel syndrome:# Malabsorption# Steatorrhea# Vitamin B12 deficiency (Terminal ileal resection)# Vitamin A, D, E, K deficiency (Due to steatorrhea fat soluble vitamins lost)# Gall stones (Cholesterol type)# Renal stones (Calcium oxalate)# Hypergastrinemia (Due to loss of feedback inhibition)",A
Maximum dose of lignocaine with adrenaline for local blocks in ophthalmic surgeries is:,3 mg/kg,5 mg/kg,7 mg/kg,10 mg/kg,"Ans. c. 7 mg/kg (Ref: Morgan 4/e p270)Maximum dose of lignocaine with adrenaline for local blocks in ophthalmic surgeries is 7 mg/kg.'Maximum safe dose of lignocaine with epinephrine is 500 mg or 7 mg/kg.Lignocaine (Lidocaine or Xylocaine)Most commonly used LA. It is amide linked local anaesthetic that can be used as surface anesthetic agent (i.e. through mucous membrane or skin)Q.Lignocaine: Characteristic FeaturesVaso-ineffective: Neither vasoconstrictor nor vasodilatorNo mydriasis and cycloplegiaPropranolol increases risk of toxicity by decreasing clearance.Contraindicated in malignant hyperpyrexia and in patients with history of convulsions.Dose related neurological effects is main toxicity.Mechanism of Action:Lignocaine blocks both open (active) and closed (inactivated) cardiac Na+ channelsQ.Lignocaine is a local anesthetic that also is useful in acute intravenous therapy of ventricular arrhythmias. It is not useful in atrial arrhythmias.Lidocaine decreases the automaticity by reducing the slope of phase 4 and altering the threshold for excitability.Lidocaine is the least cardiotoxicQ of currently used Na+ channel blocker.Pharmacokinetics:It is well absorbed but undergoes extensive though variable first pass hepatic metabolismQ (only ~3% orally administered drug appearing in plasma); thus oral use of the drug is inappropriate.Therapeutic plasma concentrations of lidocaine may be maintained by intermittent intra muscular injections, but the IV route is preferred.Concentration of Lignocaine5%4%0.5% (Usually <2%)* Spinal anesthesia (Between arachnoid and piamater in subarachnoid space)* Topical:- Pharynx- Eye* Epidural anesthesia LignocaineMaximum safe doseMaximum safe dose with Adrenaline4.5 mg/kg or 300 mgQ7 mg/kg or 500 mgQUses of Lignocaine:It is used to suppress ventricular tachycardia (VT) and prevent ventricular fibrillation (VF).Its efficacy in chronic ventricular arrhythmia is poor but it suppresses VT due to digitalis toxicity (because it does not worsen AV block). However, it is not routinely prophylacticallY used to prevent VF in all acute Ml patients because it may increase mortality.Side-Effects of LignocaineCNSCVSRespiratoryAllergic* Stimulation followed by depression* Restlessness* Vertigo* Tremor* Convulsions* Respiratory failure (due to medullary depression).* Bradycardia* Arrhythmia* Hypotension* Cardiac failure* Depress hypoxic drive (ventilator response to low PaO2)* Apnea due to phrenic or intercostal nerve paralysis or depression of respiratory centre.* IV lignocaine blocks reflex bronchoconstriction associated with intubation, whereas aerosol lignocaine may lead to bronchospasm* Bronchospasm* Urticaria* Angioedema",C
Which is best method for supplementing nutrition in patients who have undergone massive resection of the small intestine is: September 2007,Parenteral,Enteral,Gas trostomy,All of the above,"Ans. A: Parenteral Parenteral nutrition is indicated when energy and protein needs cannot be met by the enteral administration of these substrates. The most frequent clinical indications relate to those patients who have undergone massive resection of the small intestine, who have intestinal fistula or who have prolonged intestinal failure for other reason.",A
Carcinoma of the colon develops in all patients with,Juvenile polyposis,Hemaomatous polyp,Inflammatory polyps,Familial adenomatous polyposis,".FAMILIAL ADENOMATOUS POLYP (FAP) * It is inherited as an autosomal dominant neoplastic condition (chromosome no. 5q21). * It presents in younger age group--15-20 years. * Incidence is equal in both sex, involving commonly the large intestine but can also occur in stomach, duodenum and small intestine. * It is familial with a high potential for malignant transformation. If there is no adenoma at the age of 30 years, then it is not FAP of colon. * It can be associated with duodenal or ampullary carcinomas , Gardner's syndrome (Desmoid tumour in the abdomen, osteomas (75%) and epidermoid cysts) and also Turcot's syndrome (FAP + brain tumour(medulloblastoma or gliomas)) or sarcoma of bone. * Usually multiple (over 100). * Presents with lower abdominal pain, loose stools with blood and mucus, weight loss. ref:SRB's manual of surgery,ed 5,pg no 899",D
"Cervical lymph node involvement in papillary ca thyroid, best treatment is -",Radioactive iodine,Chemotherapy,Radical neck dissection,Steroid,"Ans. is 'c' i.e. Radical neck dissection 'Lymph node metastasis in the lateral neck in patients with papillary carcinma usually should be managed with modified radical or functional neck dissection.' - Schwaz Though the option mentions 'Radical neck dissection', not 'modified radical neck dissection, it still is the best choice among given option. Also know Modified radical neck dissection is done in any type of thyroid cancer with palpable or involved cervical lymph nodes (cervical lymph nodes are frequently involved in Papillary, Medullary Huhle cell and anaplastic carcinomas) It can also be done prophylactically in medullary carcinoma when the thyroid lesion is larger than 1 cm.",C
Earliest sign in X-ray in TB spine is: March 2011,Paraveebral shadow,Narrowing of disc space,Gibbus,Straightening of spinal curves,"Ans. B: Narrowing of disc space Reduction of the disc space is the earliest sign in the commoner, paradiscal type of tuberculosis Skeletal TB: Earliest symptom of spinal TB: Back pain Earliest sign in Pott's disease: Narrowing of disc space MC veebrae to be involved in TB spine: T9-T12 TB spine stas in: Veebral body (paradiscal) Spina ventosa: TB dactylitis",B
"At a flow rate of 3L/min, inspiratory (FUO2) concentration of 30–60% can be achieved by using a –",Nasopharyngeal catheter,Simple face mask,Venturi mask,Head box,Nasopharyngeal catheter deliver 32% of O2 (FiO2 → 0.32) at flow-rate 3 litre / minute.,A
The bone tumor seen in children with characteristic lamellated periosteal reaction with a mottled appearance and extension into soft tissue is which of the folllowing?,Osteosarcoma,Giant cell tumor,Ewing's sarcoma,Osteoid osteoma,"Radiologically, Ewing's sarcoma is often associated with a lamellated or 'onion peel' periosteal reaction. This appearance is caused by and splitting and thickening of the coex by tumor cells. The lesion is usually lytic and central. Endosteal scalloping is often present. The 'onion-peel' appearance is often followed with a 'moth-eaten' or mottled appearance and extension into soft tissue.",C
