Question,A,B,C,D,Explanation,Answer
Elek test is used for detecting toxins of the following infection:,Influenza,Diphtheria,Brucellosis,Cholera,"Elek gel precipitation test is used for detection of Diphtheria toxin. A presumptive C diphtheriae isolate should be subjected to testing for toxigenicity. Such tests are performed only in reference public health laboratories. There are several methods, as follows: The modified Elek method described by the World Health Organization Diphtheria Reference Unit Polymerase chain reaction (PCR)-based methods Enzyme-linked immunosorbent assays Immunochromographic strip assay Ref: Brooks G.F. (2013). Chapter 12. Aerobic Non-Spore-Forming Gram-Positive Bacilli: Corynebacterium, Listeria, Erysipelothrix, Actinomycetes, and Related Pathogens. In G.F. Brooks (Ed), Jawetz, Melnick, & Adelberg's Medical Microbiology, 26e.",B
Renin is released when:,Low phosphate,Low sodium,High phosphate,High sodium,Ans. B. Low sodiumRENIN is an enzyme that is produced and stored in the granules of the juxtaglomerular cells surrounding the afferent arterioles of glomeruli in the kidney. Following stimuli increase its secretion:* Sodium depletion* Diuretics* Hypotension* Hemorrhage* Upright posture* Dehydration* Constriction of renal artery or aorta* Cardiac failure* CirrhosisRenin is a glycoprotein synthesized as a preprohormone.,B
In a normal adult sitting with eyes closed EEG will show,Alpha,Beta,Theta,Delta,"Ans. a (Alpha) (Ref. Ganong Physiology 22nd/pg. Chapter 11, Fig. 11-8).In a normal adult sitting with eyes closed EEG will show alpha waves. EEG with eyes open & mind wandering shows Beta waves.EEG wavesKey FactsAlpha# Happen between 8 and 13 times per second, or 8-13 Hertz (Hz).# Alpha represents a sort of 'idle' state, or 'ready but not doing much' state and is normally fairly large over the back third of the brain when the eyes are closed and when you are awake.# Alpha disappears when we either get mentally busy (e.g., open the eyes, start doing intense mental work even eyes closed) or when we become drowsy.# Thus the presence of alpha can show the presence of an awake, resting state,# If it is present at a fairly high voltage when the eyes are open, this would usually indicate an inattentive, daydreamy state.# In fact we often see this sign in adolescents and adults with attentional difficulties.Beta waves# The beta family of waves happen at frequencies from 16-40 Hz or higher.# When we get mentally busy and engaged, we should see alpha 'block,' or reduce significantly in size.# In its place we see mostly smaller, quicker 'beta' waves.Delta and theta waves# Are relatively slow.# Delta is usually defined as waves occurring from 1-4 times per second (1-4 Hz).# Theta occurs at 4-7 Hz.# During drowsiness, first alpha disappears, then the size of theta waves begins to increase.# As sleep begins, theta waves get quite large, then become mixed with and eventually give way to slower delta waves.# The presence of delta and theta waves in the waking, eyes open EEG is normal, but only if the waves are fairly small.# High-amplitude slow waves can be signs of various neurological and psychological problems, ranging from epilepsy to ADHD. Educational points:# In a typical night of sleep, a young adult first enters NREM sleep, passes through stages 1 and 2, and spends 70-100 minutes in stages 3 and 4.# Sleep then lightens, and an REM period follows. This cycle is repeated at intervals of about 90 minutes throughout the night. The cycles are similar, though there is less stage 3 and 4 sleep and more REM sleep towards morning.# Thus, four to six REM periods occur per night. REM sleep occupies 80% of total sleep time in premature infants and 50% in full-term neonates.# Thereafter, proportion of REM sleep falls rapidly and plateaus at about 25% until it falls further in old age.# In REM, there occurs | and variable pulse, | and variable blood pressure, penile/clitoral tumescence. ACh is the principal neurotransmitter involved in REM sleep.# Children have more total sleep time and stage 4 sleep than adults.# Serotonergic predominance of raphe nucleus key to initiating sleep.# NE reduces REM sleep.# Extraocular movements during REM due to activity of PPRF (paramedian pontine reticular formation/conjugate gaze center).# Benzodiazepines shorten stage 4 sleep; thus useful for night terrors and sleepwalking# Imipramine is used to treat enuresis because it | stage 4 sleep.# Characteristic feature of NREM stage IV sleep is DELTA waves.FeatureStage of SleepCardiovascular activity in Sleep:Beta wavesAwake with eyes openNREM:BP |with less variability, CO |, vasodilation increases (|flow resistance).Alpha wavesAwake with closed eyesIheta wavesStage 1Tonic REM :BP stays the same, CO stays the same, muscles vasoconstriction.Sleep-SpindlesStage 2Delta wavesStage 3 & 4Phasic REM:BP variable, CO stays the same, whole body vasoconstriction.Beta wavesREM (same as Awake)Mnemonic: (BATS Drink Blood)",A
Which of the following is false regarding Amestest,Salmonella typhimurium is used,Mutated bacteria fail to grow in absence of histidine,It is used for testing mutagens,Developed by Bruce. N. Ames in 1970s,Mutated bacteria can grow even in the absence of Histidine.,B
The ECG of a 40 year old male was recorded using standard bipolar limb leads. The sum of the voltage of the three standard leads was found to be 5 millivolts. This indicates:,A normal heart,Right ventricular hypertrophy,Left ventricular hypertrophy,Increased cardiac muscle mass,"“When the sum of the voltages of all the QRS complexes  of  the  three  standard  leads  is greater than 4 mV, the patient is considered to  have  a  high-voltage  electrocardiogram. The  cause  of  high-voltage  QRS  complexes most  often  is  increased  muscle  mass  of the  heart,  which  ordinarily  results  from hypertrophy of the muscle.” So, in general  its  hypertrophy  of  heart  (may  be  right  or, left ventricular), but you cannot determine whether it is due to right or, left ventricular hypertrophy.",D
"29-year-old male with episodic abdominal pain and stress-induced edema of the lips, the tongue, and occasionally the larynx is likely to have low functional or absolute levels of which of the following proteins?",C5A (Complement cascade),"T cell receptor, a chain",Cyclooxygenase,C1 esterase inhibitor,"Complement activity, which results from the sequential interaction of a large number of plasma and cell-membrane proteins, plays an impoant role in the inflammatory response. The classic pathway of complement activation is initiated by an antibody-antigen interaction. The first complement component (C1, a complex composed of three proteins) binds to immune complexes with activation. Active C l then initiates the cleavage and concomitant activation of components C4 and C2. The activated C1 is destroyed by a plasma protease inhibitor termed C1 esterase inhibitor. This molecule also regulates clotting factor XI and kallikrein. Patients with a deficiency of C1 esterase inhibitor may develop angioedema, sometimes leading to death by asphyxia. Attacks may be precipitated by stress or trauma. In addition to low antigenic or functional levels of C1 esterase inhibitor, patients with this autosomal dominant condition may have normal levels of Cl and C3 but low levels of C4 and C2. Danazol therapy produces a striking increase in the level of this impoant inhibitor and alletes the symptoms in many patients. An acquired from of angioedema caused by a deficiency of C1 esterase inhibitor has been described in patients with autoimmune or malignant disease.",D
Congenital syphilis can be best diagnosed by -,IgM FTA- ABS,IgG FTA-ABS,VDRL,TPI,"Nontreponemal test (VDRL) detects mainly IgG, So cannot differentiate from passive maternal transfer Method to diagnose congenital syphilis is: A reactive IgM test specific for syphilis
19s IgM FTA-ABS, Captia syphilis M test (IgM ELISA) and Western blot",A
Major contribution towards gluconeogenesis is by:,Lactate,Glutamate,Ketones,Alanine,"The synthesis of glucose from noncarbohydrate compounds is known as gluconeogenesis. The major substrates/precursors for gluconeogenesis are lactate, pyruvate, glucogenic amino acids, propionate and glycerol.
Satyanarayana Pg No: 258",A
Which of the following is the principal function of the bones (ossicles) of the middle ear?,"They provide mechanical support for the flexible membranes to which they are attached (i.e., the eardrum and the oval window)","They reduce the amplitude of the vibrations reaching the oval window, protecting it from mechanical damage",They increase the efficiency of vibration transfer through the middle ear,They control the opening of the eustachian tubes and allow pressures to be equalized,"Ans. C. They increase the efficiency of vibration transfer through the middle earThe transfer of energy through the middle ear from the relatively large eardrum to the smaller oval window by the ossicular chain increases the efficiency of the mechanical transduction process. The bones do not support the membrane structures but allow them to move relatively freely. Interference with the ossicular transmission process by external influences (as by the stapedius and tensor tympani muscles) or by disease processes, acts to reduce the vibration transfer efficiency, a change that can be either protective or harmful. The function of the eustachian tube is independent of the ossicles. While the bones themselves are passive, they are essential to the process of sound conduction.",C
The last tributary of the azygos vein is -,Right superior intercostal vein,Hemi-azygos vein,Right bronchial vein,Accessory azygos vein,"Tributaries of Azygos vein

Right superior intercostal vein
Right posterior intercostal veins (5 to 11)
Hemiazygos vein
Accessory hemiazygos vein
Right bronchial vein- last tributary that joins Azygos vein just before its termination.
Esophageal, mediastinal and pericardial veins.",C
Vomiting centre receives stimulus from,Area postrema,Suprachiasmatic,Medial nuclei,Lateral nuclei,"Vomiting centre in medulla receives stimulus from- 
-        Chemoreceptor trigger zone- Area postrema
-        Vestibular system
-        Periphery- eg: irritation of gut, MI, biliary stones, renal stones
-        Cortical centres",A
